0.146739 0.00993121
0.219172 0.0197668
0.29036 0.029412
0.359784 0.0387739
0.426883 0.0477625
0.491056 0.056291
0.55167 0.0642775
0.608079 0.0716449
0.659639 0.0783223
0.70573 0.0842455
0.745773 0.0893573
0.779248 0.0936086
0.805705 0.0969583
0.824776 0.0993743
0.836179 0.100833
0.839726 0.101321
0.835319 0.100833
0.822953 0.0993743
0.802713 0.0969583
0.774771 0.0936086
0.739385 0.0893573
0.69689 0.0842455
0.647699 0.0783223
0.592292 0.0716449
0.531213 0.0642775
0.465059 0.056291
0.394476 0.0477625
0.320148 0.0387739
0.24279 0.029412
0.163141 0.0197668
0.0819557 0.00993121
