0.000000 0. 2.96275 1.71826    
0.010000 1.01005 2.96278 1.71833   
0.020000 1.0202 2.96288 1.71856   
0.030000 1.03045 2.96303 1.71893   
0.040000 1.04081 2.96324 1.71944   
0.050000 1.05127 2.96349 1.7201   
0.060000 1.06184 2.9638 1.72088   
0.070000 1.07251 2.96415 1.7218   
0.080000 1.08329 2.96455 1.72285   
0.090000 1.09417 2.96498 1.72402   
0.100000 1.10517 2.96545 1.72532   
0.110000 1.11628 2.96595 1.72673   
0.120000 1.1275 2.96649 1.72825   
0.130000 1.13883 2.96705 1.72988   
0.140000 1.15027 2.96764 1.73162   
0.150000 1.16183 2.96824 1.73346   
0.160000 1.17351 2.96887 1.7354   
0.170000 1.1853 2.96951 1.73742   
0.180000 1.19722 2.97017 1.73954   
0.190000 1.20925 2.97084 1.74174   
0.200000 1.2214 2.97151 1.74403   
0.210000 1.23368 2.97219 1.74639   
0.220000 1.24608 2.97288 1.74882   
0.230000 1.2586 2.97356 1.75132   
0.240000 1.27125 2.97424 1.75388   
0.250000 1.28403 2.97492 1.7565   
0.260000 1.29693 2.97559 1.75918   
0.270000 1.30996 2.97626 1.76191   
0.280000 1.32313 2.97691 1.76469   
0.290000 1.33643 2.97755 1.76751   
0.300000 1.34986 2.97817 1.77036   
0.310000 1.36343 2.97878 1.77326   
0.320000 1.37713 2.97937 1.77618   
0.330000 1.39097 2.97994 1.77913   
0.340000 1.40495 2.98049 1.7821   
0.350000 1.41907 2.98101 1.78509   
0.360000 1.43333 2.98151 1.78809   
0.370000 1.44773 2.98199 1.7911   
0.380000 1.46228 2.98243 1.79412   
0.390000 1.47698 2.98285 1.79715   
0.400000 1.49182 2.98324 1.80017   
0.410000 1.50682 2.98359 1.80319   
0.420000 1.52196 2.98392 1.8062   
0.430000 1.53726 2.98421 1.80919   
0.440000 1.55271 2.98447 1.81218   
0.450000 1.56831 2.98469 1.81514   
0.460000 1.58407 2.98489 1.81808   
0.470000 1.59999 2.98504 1.821   
0.480000 1.61607 2.98516 1.82389   
0.490000 1.63232 2.98525 1.82674   
0.500000 1.64872 2.9853 1.82957   
0.510000 1.66529 2.98531 1.83235   
0.520000 1.68203 2.98529 1.8351   
0.530000 1.69893 2.98523 1.8378   
0.540000 1.71601 2.98514 1.84046   
0.550000 1.73325 2.98501 1.84307   
0.560000 1.75067 2.98485 1.84564   
0.570000 1.76827 2.98465 1.84815   
0.580000 1.78604 2.98442 1.8506   
0.590000 1.80399 2.98416 1.853   
0.600000 1.82212 2.98386 1.85534   
0.610000 1.84043 2.98354 1.85763   
0.620000 1.85893 2.98318 1.85985   
0.630000 1.87761 2.9828 1.86201   
0.640000 1.89648 2.98239 1.8641   
0.650000 1.91554 2.98195 1.86613   
0.660000 1.93479 2.98149 1.86809   
0.670000 1.95424 2.98101 1.86999   
0.680000 1.97388 2.9805 1.87182   
0.690000 1.99372 2.97997 1.87358   
0.700000 2.01375 2.97943 1.87527   
0.710000 2.03399 2.97886 1.87688   
0.720000 2.05443 2.97829 1.87843   
0.730000 2.07508 2.9777 1.87991   
0.740000 2.09594 2.9771 1.88132   
0.750000 2.117 2.97649 1.88266   
0.760000 2.13828 2.97587 1.88393   
0.770000 2.15977 2.97525 1.88513   
0.780000 2.18147 2.97463 1.88625   
0.790000 2.2034 2.97401 1.88731   
0.800000 2.22554 2.97339 1.88831   
0.810000 2.24791 2.97278 1.88923   
0.820000 2.2705 2.97218 1.89009   
0.830000 2.29332 2.97158 1.89089   
0.840000 2.31637 2.971 1.89162   
0.850000 2.33965 2.97044 1.89228   
0.860000 2.36316 2.96989 1.89289   
0.870000 2.38691 2.96937 1.89344   
0.880000 2.4109 2.96887 1.89393   
0.890000 2.43513 2.9684 1.89437   
0.900000 2.4596 2.96796 1.89475   
0.910000 2.48432 2.96755 1.89509   
0.920000 2.50929 2.96718 1.89537   
0.930000 2.53451 2.96685 1.89561   
0.940000 2.55998 2.96656 1.8958   
0.950000 2.58571 2.96632 1.89595   
0.960000 2.6117 2.96612 1.89606   
0.970000 2.63794 2.96598 1.89614   
0.980000 2.66446 2.96589 1.89618   
1.000000 0. 2.96586 1.8962   
